_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,srednia 2022,roznica 23-22,empty_AK,empty_AL,empty_AM,empty_AN,empty_AO,empty_AP,empty_AQ,id
661d8faa3fbc5e0ca141116d,69,Jakub Stojanowski,Gorzów,0.545,5,1,11,0,1,3,7,0,0,1,0,0.0,0.333333333333333,0.8,0.333333333333333,0.333333333333333,0,1.33333333333333,0,4,0.3,-0.5,6,14,-8,0,3,-3,-0.466666666666667,0.227272727272727,,,,,,,,,,3538
661d8faa3fbc5e0ca141116e,68,Mateusz Świdnicki,Krosno,0.593,14,2,27,1,1,9,16,3,0,0,0,0.037037037037037,0.307692307692308,0.857142857142857,0.8,1,0,0.714285714285714,0,13,0.211538461538462,-0.454545454545455,11,41,-30,1,6,-5,-0.549450549450549,0.148148148148148,1.462,-0.869,,,,,,,,3264
661d8faa3fbc5e0ca141116f,70,Mathias Pollestad,Gorzów,0.533,8,0,15,0,1,6,8,0,0,0,0,0.0,0.666666666666667,0.444444444444444,1.33333333333333,0.25,0.666666666666667,0.2,0,6,0.166666666666667,-0.8,5,25,-20,0,4,-4,0.222222222222222,0.0333333333333333,,,,,,,,,,3602
661d8faa3fbc5e0ca1411170,71,Emil Portner,Toruń,0.5,1,0,2,0,0,1,1,0,1,0,0,0.0,0.5,,0,,1,,0,1,0,0.5,0,2,-2,1,0,1,#XL_EVAL_ERROR#,0.25,,,,,,,,,,3645
661d8faa3fbc5e0ca1411171,72,Antti Vuolas,Lublin,0.429,3,0,7,0,0,3,4,0,0,0,0,0.0,0.666666666666667,0.25,0.5,1,0.333333333333333,0,0,2,0.214285714285714,0,3,11,-8,1,1,0,0.416666666666667,0.214285714285714,,,,,,,,,,3657
661d8faa3fbc5e0ca1411172,73,Piotr Świercz,Krosno,0.364,3,1,11,0,1,1,9,1,2,0,1,0.0,0.25,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0,3,0.3125,-0.4,5,11,-6,3,5,-2,-0.416666666666667,0.0952380952380952,,,,,,,,,,3564
661d8faa3fbc5e0ca1411173,74,Oskar Rumiński,Toruń,0.222,2,0,9,0,0,2,7,0,0,1,0,0.0,0.5,0,0,0,0.5,0,0,5,0.0588235294117647,0,1,16,-15,0,0,0,0.5,0.111111111111111,,,,,,,,,,3677
661d8faa3fbc5e0ca1411174,75,Mateusz Panicz,Wrocław,0.211,4,0,19,0,0,4,15,0,1,0,0,0.0,0.166666666666667,0.230769230769231,0.25,0.333333333333333,0,0.333333333333333,0,6,0.117647058823529,-0.75,4,30,-26,0,3,-3,-0.0641025641025641,0.0789473684210526,,,,,,,,,,3509
661d8faa3fbc5e0ca1411175,76,Kacper Andrzejewski,Wrocław,0.192,4,1,26,0,1,2,23,0,1,1,0,0.0,0.266666666666667,0.0909090909090909,0,0,0.5,0.222222222222222,0,9,0.142857142857143,-0.428571428571429,7,42,-35,0,3,-3,0.175757575757576,0.0769230769230769,,,,,,,,,,3669
661d8faa3fbc5e0ca1411176,79,Maurice Brown,Leszno,0.0,0,0,1,0,0,0,1,0,0,0,0,0.0,,0,,,0,,0,1,0,0,0,2,-2,0,0,0,#XL_EVAL_ERROR#,0.0,,,,,,,,,,3681
661d8faa3fbc5e0ca1411177,77,Lukas Fienhage,Wrocław,0.0,0,0,2,0,0,0,2,0,0,0,0,0.0,,0,,0,,0,0,1,#XL_EVAL_ERROR#,,,,,,,,#XL_EVAL_ERROR#,0.0,,,,,,,,,,12
661d8faa3fbc5e0ca1411178,78,Connor Bailey,Wrocław,0.0,0,0,2,0,0,0,2,0,0,0,1,0.0,,0,0,,,0,0,1,0,0,0,2,-2,0,0,0,#XL_EVAL_ERROR#,0.0,,,,,,,,,,3867
661d8faa3fbc5e0ca1411179,80,Lars Skupień,Krosno,0.0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,,,0,,,0,1,0,0,0,2,-2,0,0,0,#XL_EVAL_ERROR#,0.0,,,,,,,,,,3258
