_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS
660dbf87352dc45da21939d9,32,Wiktor Przyjemski,Bydgoszcz,1.743,54,7,35,11,6,9,9,0,2,0,0,0.314285714,1.928571429,1.619047619,1.4,2.3,1.142857143,2,0.59375,0.0,38,26,12,7,7,0
660dbf87352dc45da21939da,33,Ernest Koza,Tarnów,1.661,83,10,56,9,18,20,9,0,2,1,1,0.160714286,1.8,1.5,1.666666667,1.461538462,2,1.5,0.519230769,-0.074074074,54,50,4,10,14,-4
660dbf87352dc45da21939db,34,Krystian Pieszczek,Gdańsk,1.636,117,9,77,20,19,19,19,0,3,0,1,0.25974026,1.763157895,1.512820513,1.6875,1.47826087,1.636363636,1.8125,0.562043796,-0.155844156,77,60,17,8,20,-12
660dbf87352dc45da21939dc,35,Nicolai Klindt,Ostrów,1.618,109,14,76,15,21,22,18,2,1,0,2,0.197368421,1.725,1.5,1.4,1.944444444,1.375,1.727272727,0.613793103,-0.168539326,89,56,33,6,21,-15
660dbf87352dc45da21939dd,36,Sebastian Szostak,Ostrów,1.597,86,13,62,16,10,18,18,0,2,0,2,0.258064516,1.620689655,1.575757576,1.736842105,2.095238095,0.692307692,1.444444444,0.572727273,-0.047619048,63,47,16,4,7,-3
660dbf87352dc45da21939de,37,Adrian Gała,Bydgoszcz,1.576,45,7,33,7,10,4,12,0,1,0,0,0.212121212,1.642857143,1.526315789,1.5,2.181818182,1.125,1.3,0.396825397,0.184210526,25,38,-13,11,4,7
660dbf87352dc45da21939df,38,Marcin Nowak,Łódź,1.531,84,14,64,11,19,13,21,0,2,0,0,0.171875,1.882352941,1.133333333,1.785714286,1.052631579,1.866666667,1.5625,0.408333333,0.098591549,49,71,-22,19,12,7
660dbf87352dc45da21939e0,39,Wiktor Trofimow,Rybnik,1.478,82,17,67,8,17,24,18,2,3,1,0,0.119402985,1.571428571,1.375,1.75,1.176470588,1.388888889,1.625,0.491935484,-0.06557377,61,63,-2,10,14,-4
660dbf87352dc45da21939e1,40,Kevin Fajfer,Gniezno,1.467,35,9,30,5,6,8,11,0,2,0,1,0.166666667,1.928571429,1.0625,1.375,1.75,1.8,1.111111111,0.471698113,0.035714286,25,28,-3,2,1,1
660dbf87352dc45da21939e2,41,Artur Mroczka,Tarnów,1.333,84,8,69,11,12,27,19,2,3,0,1,0.15942029,1.485714286,1.176470588,2.142857143,1.210526316,1.210526316,0.941176471,0.354330709,0.024390244,45,82,-37,9,7,2
660dbf87352dc45da21939e3,42,Mirosław Jabłoński,Gniezno,1.31,34,4,29,4,8,6,11,1,0,0,0,0.137931034,1.25,1.352941176,2,0.888888889,1.285714286,1.285714286,0.375,0.0,21,35,-14,4,4,0
660dbf87352dc45da21939e4,43,Mateusz Tudzież,Rybnik,1.264,60,7,53,8,12,12,21,1,0,1,1,0.150943396,1.36,1.178571429,1.529411765,1.5625,1.111111111,0.545454545,0.43,-0.139534884,43,57,-14,4,10,-6
660dbf87352dc45da21939e5,45,Mateusz Dul,Łódź,1.152,50,3,46,8,8,10,20,2,1,1,0,0.173913043,1.285714286,1.04,1.666666667,0.8,0.9,1.166666667,0.445783133,-0.27027027,37,46,-9,2,12,-10
660dbf87352dc45da21939e6,44,Piotr Gryszpiński,Gdańsk,1.255,45,14,47,4,10,13,20,1,3,0,0,0.085106383,1.615384615,0.80952381,1.5,0.666666667,1.6,1.285714286,0.333333333,0.055555556,27,54,-27,6,3,3
660dbf87352dc45da21939e7,46,Michał Gruchalski,Gdańsk,1.136,47,3,44,8,5,13,18,2,3,0,0,0.181818182,1.227272727,1.045454545,1.214285714,1.333333333,0.933333333,1.222222222,0.518987342,-0.292682927,41,38,3,4,16,-12
660dbf87352dc45da21939e8,47,Przemysław Konieczny,Tarnów,1.0,35,6,41,2,8,13,18,1,1,0,0,0.048780488,0.909090909,1.105263158,1,1.111111111,1,0.909090909,0.246753247,0.0,19,58,-39,2,2,0
